KABCO,K_A,B_C,O,AADT,PSL,Length,P15,P50,P85,P50_P15,P85_P50,P85_P15,PSL_P15,PSL_P50,P85_PSL
1,0.37,0.8,0.97,0.31,0.13,0.25,0.06,0.07,0.08,0.09,0.02,0.06,0.05,0.04,-0.03
0.37,1,0.23,0.31,0.09,0.04,0.13,0.06,0.07,0.06,0.01,-0.02,-0.01,-0.03,-0.03,0.03
0.8,0.23,1,0.63,0.22,0.09,0.22,0.07,0.08,0.09,0.06,0.01,0.04,0.01,-0,0
0.97,0.31,0.63,1,0.31,0.13,0.23,0.04,0.06,0.07,0.09,0.03,0.07,0.07,0.05,-0.05
0.31,0.09,0.22,0.31,1,0.31,0.09,0.08,0.11,0.13,0.16,0.08,0.14,0.18,0.16,-0.15
0.13,0.04,0.09,0.13,0.31,1,0.24,0.35,0.38,0.4,0.15,0.06,0.12,0.51,0.49,-0.49
0.25,0.13,0.22,0.23,0.09,0.24,1,0.67,0.64,0.59,-0.13,-0.34,-0.28,-0.42,-0.4,0.35
0.06,0.06,0.07,0.04,0.08,0.35,0.67,1,0.98,0.95,-0.04,-0.32,-0.22,-0.63,-0.63,0.59
0.07,0.07,0.08,0.06,0.11,0.38,0.64,0.98,1,0.98,0.14,-0.25,-0.07,-0.59,-0.63,0.6
0.08,0.06,0.09,0.07,0.13,0.4,0.59,0.95,0.98,1,0.23,-0.06,0.09,-0.54,-0.59,0.6
0.09,0.01,0.06,0.09,0.16,0.15,-0.13,-0.04,0.14,0.23,1,0.41,0.83,0.16,-0,0.08
0.02,-0.02,0.01,0.03,0.08,0.06,-0.34,-0.32,-0.25,-0.06,0.41,1,0.85,0.35,0.28,-0.11
0.06,-0.01,0.04,0.07,0.14,0.12,-0.28,-0.22,-0.07,0.09,0.83,0.85,1,0.31,0.17,-0.02
0.05,-0.03,0.01,0.07,0.18,0.51,-0.42,-0.63,-0.59,-0.54,0.16,0.35,0.31,1,0.99,-0.96
0.04,-0.03,-0,0.05,0.16,0.49,-0.4,-0.63,-0.63,-0.59,-0,0.28,0.17,0.99,1,-0.98
-0.03,0.03,0,-0.05,-0.15,-0.49,0.35,0.59,0.6,0.6,0.08,-0.11,-0.02,-0.96,-0.98,1
